,open,high,low,close,volume
2022-04-11 12:30:00-04:00,342.1700134277344,344.1199951171875,342.0,343.25,6081246
2022-04-11 13:30:00-04:00,343.239990234375,343.8399963378906,342.25,342.3900146484375,5628342
2022-04-11 14:30:00-04:00,342.3699951171875,343.9200134277344,341.8500061035156,342.0,7260548
2022-04-11 15:30:00-04:00,341.9800109863281,342.1199951171875,340.5350036621094,340.8800048828125,10894019
2022-04-11 16:00:00-04:00,340.91,349.0101,340.63,341.015,0
2022-04-11 17:00:00-04:00,341.02,358.89166,319.0953,341.04,0
2022-04-11 18:00:00-04:00,341.07,341.33,340.89,341.28,0
2022-04-11 19:00:00-04:00,341.29,341.29,340.29,340.48,0
2022-04-12 04:00:00-04:00,340.5,340.64,339.86,340.47,0
2022-04-12 05:00:00-04:00,340.43,341.44,340.36,341.16,0
2022-04-12 06:00:00-04:00,341.22,342.04,341.11,341.45,0
2022-04-12 07:00:00-04:00,341.42,341.87,340.64,341.22,0
2022-04-12 08:00:00-04:00,341.21,342.49,338.69,342.009,0
2022-04-12 09:00:00-04:00,342.01,347.83,340.89,345.73,0
2022-04-12 09:30:00-04:00,345.760009765625,347.69000244140625,343.70001220703125,345.55999755859375,20435768
2022-04-12 10:30:00-04:00,345.55999755859375,345.7200012207031,343.010009765625,345.25,11297804
2022-04-12 11:30:00-04:00,345.260009765625,345.8599853515625,342.55999755859375,342.7900085449219,6936779
2022-04-12 12:30:00-04:00,342.7900085449219,344.1600036621094,342.3800048828125,342.9750061035156,6376913
2022-04-12 13:30:00-04:00,342.9599914550781,343.44000244140625,339.29998779296875,339.3299865722656,8565503
2022-04-12 14:30:00-04:00,339.32000732421875,340.3999938964844,338.0350036621094,338.5,9189082
2022-04-12 15:30:00-04:00,338.5199890136719,340.3500061035156,338.2322998046875,339.5400085449219,7387242
2022-04-12 16:00:00-04:00,339.52,345.7,339.01,339.77,0
2022-04-12 17:00:00-04:00,339.89,354.523,326.974,339.88,0
2022-04-12 18:00:00-04:00,339.88,347.0701,339.45,340.09,0
2022-04-12 19:00:00-04:00,340.09,340.86,340.08,340.86,0
